[Test 4 : No action (2,000)]
2021-01-08 01:33:23,044 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-17:33:23.000 56=VTUAT 1=TRYIKANG 11=1610040803044 21=1 38=2000 40=1 54=1 55=NOK 59=0 60=20210107-17:33:23.044 10=084
2021-01-08 01:33:25,386 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-17:33:25.740 56=TWUAT 6=0 11=1610040803044 14=0 15=USD 17=3228182 20=0 31=0 32=0 37=BV12437467 38=2000 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-17:33:10.537 150=A 151=2000 167=CS 10=224
2021-01-08 01:33:27,415 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-17:33:27.769 56=TWUAT 6=0 11=1610040803044 14=0 15=USD 17=3228184 20=0 31=0 32=0 37=BV12437467 38=2000 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-17:33:11.010 150=0 151=2000 167=CS 10=232
2021-01-08 01:33:27,416 : S >> 8=FIX.4.2 9=135 35=F 34=3 49=TWUAT 52=20210107-17:33:27.000 56=VTUAT 1=TRYIKANG 11=1610040807416 41=1610040803044 54=1 55=NOK 60=20210107-17:33:27.416 10=178
2021-01-08 01:33:31,745 : R << 8=FIX.4.2 9=243 35=8 34=4 49=VTUAT 52=20210107-17:33:32.099 56=TWUAT 6=0 11=1610040807416 14=0 15=USD 17=3228186 20=0 31=0 32=0 37=BV12437467 38=2000 39=6 40=1 41=1610040803044 54=1 55=NOK 58=PENDING CANCEL 59=0 60=20210107-17:33:15.313 150=6 151=2000 167=CS 10=201
2021-01-08 01:33:31,748 : R << 8=FIX.4.2 9=235 35=8 34=5 49=VTUAT 52=20210107-17:33:32.102 56=TWUAT 6=0 11=1610040807416 14=0 15=USD 17=3228187 20=0 31=0 32=0 37=BV12437467 38=2000 39=4 40=1 41=1610040803044 54=1 55=NOK 58=CANCELLED 59=0 60=20210107-17:33:15.313 150=4 151=0 167=CS 10=215

[Test 5 : Too late to cancel (2,300)]
2021-01-08 01:43:00,701 : S >> 8=FIX.4.2 9=141 35=D 34=5 49=TWUAT 52=20210107-17:43:00.000 56=VTUAT 1=TRYIKANG 11=1610041380701 21=1 38=2300 40=1 54=1 55=NOK 59=0 60=20210107-17:43:00.701 10=083
2021-01-08 01:43:03,008 : R << 8=FIX.4.2 9=223 35=8 34=8 49=VTUAT 52=20210107-17:43:03.370 56=TWUAT 6=0 11=1610041380701 14=0 15=USD 17=3228198 20=0 31=0 32=0 37=BV12437498 38=2300 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-17:42:48.173 150=A 151=2300 167=CS 10=251
2021-01-08 01:43:05,115 : R << 8=FIX.4.2 9=220 35=8 34=9 49=VTUAT 52=20210107-17:43:05.478 56=TWUAT 6=0 11=1610041380701 14=0 15=USD 17=3228200 20=0 31=0 32=0 37=BV12437498 38=2300 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-17:42:48.623 150=0 151=2300 167=CS 10=252
2021-01-08 01:43:05,117 : S >> 8=FIX.4.2 9=135 35=F 34=6 49=TWUAT 52=20210107-17:43:05.000 56=VTUAT 1=TRYIKANG 11=1610041385116 41=1610041380701 54=1 55=NOK 60=20210107-17:43:05.116 10=172
2021-01-08 01:43:09,430 : R << 8=FIX.4.2 9=244 35=8 34=10 49=VTUAT 52=20210107-17:43:09.792 56=TWUAT 6=0 11=1610041385116 14=0 15=USD 17=3228202 20=0 31=0 32=0 37=BV12437498 38=2300 39=6 40=1 41=1610041380701 54=1 55=NOK 58=PENDING CANCEL 59=0 60=20210107-17:42:53.010 150=6 151=2300 167=CS 10=247
2021-01-08 01:43:28,064 : R << 8=FIX.4.2 9=236 35=8 34=11 49=VTUAT 52=20210107-17:43:09.794 56=TWUAT 6=4.01 11=1610041380701 14=2300 15=USD 17=3228203 20=0 31=4.01 32=2300 37=BV12437498 38=2300 39=2 40=1 54=1 55=NOK 58=FILLED 59=0 60=20210107-17:42:53.013 76=GNSS 150=2 151=0 167=CS 10=069
2021-01-08 01:43:28,068 : R << 8=FIX.4.2 9=163 35=9 34=12 49=VTUAT 52=20210107-17:43:09.796 56=TWUAT 11=1610041385116 37=BV12437498 39=2 41=1610041380701 58=CANCEL REJECTED 60=20210107-17:42:53.030 102=0 434=1 10=040

[Test 7 : Cancel reject (2,500)]
2021-01-08 02:25:19,469 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-18:25:19.000 56=VTUAT 1=TRYIKANG 11=1610043919469 21=1 38=2500 40=1 54=1 55=NOK 59=0 60=20210107-18:25:19.469 10=136
2021-01-08 02:25:21,775 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-18:25:22.169 56=TWUAT 6=0 11=1610043919469 14=0 15=USD 17=3228236 20=0 31=0 32=0 37=BV12437569 38=2500 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-18:25:06.890 150=A 151=2500 167=CS 10=016
2021-01-08 02:25:21,777 : S >> 8=FIX.4.2 9=135 35=F 34=3 49=TWUAT 52=20210107-18:25:21.000 56=VTUAT 1=TRYIKANG 11=1610043921776 41=1610043919469 54=1 55=NOK 60=20210107-18:25:21.777 10=211
2021-01-08 02:25:23,845 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-18:25:24.237 56=TWUAT 6=0 11=1610043919469 14=0 15=USD 17=3228238 20=0 31=0 32=0 37=BV12437569 38=2500 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-18:25:07.333 150=0 151=2500 167=CS 10=015
2021-01-08 02:25:27,933 : R << 8=FIX.4.2 9=162 35=9 34=4 49=VTUAT 52=20210107-18:25:28.327 56=TWUAT 11=1610043921776 37=BV12437569 39=0 41=1610043919469 58=CANCEL REJECTED 60=20210107-18:25:11.463 102=0 434=1 10=018

[Test 8 : Cancel/replace reject (2,500)]
2021-01-08 03:27:13,113 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-19:27:13.000 56=VTUAT 1=TRYIKANG 11=1610047633112 21=1 38=2500 40=1 54=1 55=NOK 59=0 60=20210107-19:27:13.113 10=098
2021-01-08 03:27:15,384 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-19:27:15.821 56=TWUAT 6=0 11=1610047633112 14=0 15=USD 17=3228279 20=0 31=0 32=0 37=BV12437684 38=2500 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:27:00.447 150=A 151=2500 167=CS 10=254
2021-01-08 03:27:17,418 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-19:27:17.854 56=TWUAT 6=0 11=1610047633112 14=0 15=USD 17=3228281 20=0 31=0 32=0 37=BV12437684 38=2500 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:27:00.890 150=0 151=2500 167=CS 10=007
2021-01-08 03:27:17,419 : S >> 8=FIX.4.2 9=158 35=G 34=3 49=TWUAT 52=20210107-19:27:17.000 56=VTUAT 1=TRYIKANG 11=1610047637419 18=G 21=1 38=2500 40=1 41=1610047633112 54=1 55=NOK 60=20210107-19:27:17.419 10=213
2021-01-08 03:27:21,708 : R << 8=FIX.4.2 9=163 35=9 34=4 49=VTUAT 52=20210107-19:27:22.145 56=TWUAT 11=1610047637419 37=BV12437684 39=0 41=1610047633112 58=REPLACE REJECTED 60=20210107-19:27:05.217 102=0 434=2 10=086

[Test 9 : C/R reject, fill (2,550)]
2021-01-08 03:30:23,243 : S >> 8=FIX.4.2 9=141 35=D 34=2 49=TWUAT 52=20210107-19:30:23.000 56=VTUAT 1=TRYIKANG 11=1610047823243 21=1 38=2550 40=1 54=1 55=NOK 59=0 60=20210107-19:30:23.243 10=103
2021-01-08 03:30:25,523 : R << 8=FIX.4.2 9=223 35=8 34=2 49=VTUAT 52=20210107-19:30:25.962 56=TWUAT 6=0 11=1610047823243 14=0 15=USD 17=3228285 20=0 31=0 32=0 37=BV12437697 38=2550 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:30:10.563 150=A 151=2550 167=CS 10=010
2021-01-08 03:30:27,706 : R << 8=FIX.4.2 9=220 35=8 34=3 49=VTUAT 52=20210107-19:30:28.146 56=TWUAT 6=0 11=1610047823243 14=0 15=USD 17=3228287 20=0 31=0 32=0 37=BV12437697 38=2550 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:30:11.010 150=0 151=2550 167=CS 10=003
2021-01-08 03:30:27,707 : S >> 8=FIX.4.2 9=158 35=G 34=3 49=TWUAT 52=20210107-19:30:27.000 56=VTUAT 1=TRYIKANG 11=1610047827707 18=G 21=1 38=2550 40=1 41=1610047823243 54=1 55=NOK 60=20210107-19:30:27.707 10=215
2021-01-08 03:30:32,257 : R << 8=FIX.4.2 9=244 35=8 34=4 49=VTUAT 52=20210107-19:30:32.697 56=TWUAT 6=0 11=1610047827707 14=0 15=USD 17=3228290 20=0 31=0 32=0 37=BV12437697 38=2550 39=E 40=1 41=1610047823243 54=1 55=NOK 58=PENDING REPLACE 59=0 60=20210107-19:30:15.507 150=E 151=2550 167=CS 10=112
2021-01-08 03:30:32,259 : R << 8=FIX.4.2 9=235 35=8 34=5 49=VTUAT 52=20210107-19:30:32.699 56=TWUAT 6=4.01 11=1610047823243 14=2550 15=USD 17=3228291 20=0 31=4.01 32=2550 37=BV12437697 38=2550 39=2 40=1 54=1 55=NOK 58=FILLED 59=0 60=20210107-19:30:15.510 76=GNSS 150=2 151=0 167=CS 10=058

[Test 10 : Execution cancel (2,600)]
2021-01-08 03:31:32,449 : S >> 8=FIX.4.2 9=141 35=D 34=6 49=TWUAT 52=20210107-19:31:32.000 56=VTUAT 1=TRYIKANG 11=1610047892448 21=1 38=2600 40=1 54=1 55=NOK 59=0 60=20210107-19:31:32.449 10=126
2021-01-08 03:31:34,719 : R << 8=FIX.4.2 9=223 35=8 34=7 49=VTUAT 52=20210107-19:31:35.160 56=TWUAT 6=0 11=1610047892448 14=0 15=USD 17=3228292 20=0 31=0 32=0 37=BV12437700 38=2600 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:31:19.773 150=A 151=2600 167=CS 10=008
2021-01-08 03:31:36,797 : R << 8=FIX.4.2 9=220 35=8 34=8 49=VTUAT 52=20210107-19:31:37.238 56=TWUAT 6=0 11=1610047892448 14=0 15=USD 17=3228294 20=0 31=0 32=0 37=BV12437700 38=2600 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:31:20.217 150=0 151=2600 167=CS 10=009
2021-01-08 03:31:36,799 : R << 8=FIX.4.2 9=237 35=8 34=9 49=VTUAT 52=20210107-19:31:37.240 56=TWUAT 6=4.01 11=1610047892448 14=700 15=USD 17=3228295 20=0 31=4.01 32=700 37=BV12437700 38=2600 39=1 40=1 54=1 55=NOK 58=PARTIAL 59=0 60=20210107-19:31:20.237 76=GNSS 150=1 151=1900 167=CS 10=192
2021-01-08 03:31:40,341 : R << 8=FIX.4.2 9=227 35=8 34=10 49=VTUAT 52=20210107-19:31:40.782 56=TWUAT 6=0 11=1610047892448 14=0 15=USD 17=3228296 19=3228295 20=1 31=0 32=0 37=BV12437700 38=2600 39=0 40=1 54=1 55=NOK 58=NEW 59=0 60=20210107-19:31:25.237 150=0 151=2600 167=CS 10=009

[Test 11 : Fill cancel (2,640)]
2021-01-08 03:35:20,859 : S >> 8=FIX.4.2 9=142 35=D 34=14 49=TWUAT 52=20210107-19:35:20.000 56=VTUAT 1=TRYIKANG 11=1610048120858 21=1 38=2640 40=1 54=1 55=NOK 59=0 60=20210107-19:35:20.859 10=175
2021-01-08 03:35:23,163 : R << 8=FIX.4.2 9=224 35=8 34=18 49=VTUAT 52=20210107-19:35:23.607 56=TWUAT 6=0 11=1610048120858 14=0 15=USD 17=3228297 20=0 31=0 32=0 37=BV12437716 38=2640 39=A 40=1 54=1 55=NOK 58=PENDING NEW 59=0 60=20210107-19:35:08.173 150=A 151=2640 167=CS 10=072
2021-01-08 03:35:25,207 : R << 8=FIX.4.2 9=221 35=8 34=19 49=VTUAT 52=20210107-19:35:25.651 56=TWUAT 6=0 11=1610048120858 14=0 15=USD 17=3228299 20=0 31=0 32=0 37=BV12437716 38=2640 39=0 40=1 54=1 55=NOK 58=ACCEPTED 59=0 60=20210107-19:35:08.627 150=0 151=2640 167=CS 10=085
